user,sku,category,query,click_time,query_time
0001d570d831c476edc8921ce82250dd760a8ea6,9439869,pcmcat158900050019,Screens,"2011-09-09 12:50:21.711","2011-09-09 12:48:44.68"
0001e02dd99db192f9f535f49885ab3441ce1287,3042042,pcmcat159400050011,Treadmill,"2011-10-16 02:44:53.197","2011-10-16 02:43:49.952"
0001e1d09bad1a8b163db4fd08b99dbf647cc2b1,1114133,pcmcat171900050024,ipod,"2011-10-26 00:17:19.808","2011-10-26 00:15:12.758"
0001e8bb4ac9af004b09530c7b5a9392f8e46280,9826287,pcmcat158600050020,netgear,"2011-10-09 20:00:07.246","2011-10-09 19:56:47.149"
0001e98ddd94562b37d51de1f2b68385749c6979,2541209,abcat0703002,"dead island","2011-10-13 19:15:30.724","2011-10-13 19:15:10.017"
0001eb9cf928bbea612d3eff5e75dde0be2a8bee,2307923,abcat0101001,Viera,"2011-08-28 16:18:28.622","2011-08-28 16:17:52.354"
0001fb09f03fea4d04e2267ed3194c806839d997,1271997,abcat0513004,Razer,"2011-09-07 09:20:07.11","2011-09-07 09:19:03.279"
0001fb09f03fea4d04e2267ed3194c806839d997,1272013,abcat0515020,Razer,"2011-09-07 09:21:01.416","2011-09-07 09:19:03.279"
000203fcead4899e113dfa652403d2138b060a54,2845071,pcmcat247400050000,Laptops,"2011-09-12 18:48:43.36","2011-09-12 18:48:29.181"
000203fcead4899e113dfa652403d2138b060a54,2738738,pcmcat164200050013,Laptops,"2011-09-12 18:49:57.734","2011-09-12 18:48:29.181"
000203fcead4899e113dfa652403d2138b060a54,2969477,pcmcat247400050000,Laptops,"2011-09-12 18:50:26.625","2011-09-12 18:48:29.181"
00020d2c7f5d428383decea4ad087f414a2b60cb,9809492,pcmcat158900050018,dlp,"2011-10-25 23:06:32.908","2011-10-25 23:05:54.534"
00022f0b10681587e8cc187f5be6b751062b3619,1243081,pcmcat161100050044,"range booster","2011-10-12 10:12:23.886","2011-10-12 10:11:14.397"
00022f0b10681587e8cc187f5be6b751062b3619,3410068,pcmcat161100050044,"wireless repeater","2011-10-12 10:19:23.537","2011-10-12 10:18:34.006"
000243ec028a317a5b97f2bd6e81f5ba00829c8a,2481046,abcat0208011,Ihome,"2011-10-29 13:26:24.38","2011-10-29 13:26:12.408"
00025b2eafc7bc03fe3434526bc26377a0950be7,1806049,pcmcat171900050025,"phone home","2011-09-18 10:49:06.373","2011-09-18 10:48:36.414"
00025bb49812edd47fdbc483ab9139182c3f79c1,1473505,pcmcat209600050010,nero,"2011-10-19 23:28:31.795","2011-10-19 23:28:04.291"
00025cd5df8627a2b1b1276db60c9f71c8fa9205,3179206,abcat0301014,garmin,"2011-10-09 22:53:04.144","2011-10-09 22:49:07.561"
000260b2e74be3d677848cd943a12fa8677f670c,8699358,abcat0302003,Amp,"2011-09-14 17:31:02.33","2011-09-14 17:30:52.146"
0002657e9a0755ab09b9f63f3370f3dc3e4a8e2e,3844594,cat02673,"rock band","2011-10-26 00:26:52.821","2011-10-26 00:26:32.282"
00027cdd6fd15c68d4df7fc2428e88b173883b56,9714459,abcat0507004,Pinnacle,"2011-08-13 18:18:34.529","2011-08-13 18:18:21.018"
00028845c908ab2f0f52371ebcfbd3e1dee65a31,2022343,abcat0403004,"Samsung Q10","2011-09-23 20:50:03.23","2011-09-23 20:49:49.555"
00028c572a772140adca524d14dc4526a004939f,3004556,pcmcat242000050007,"power cord","2011-09-12 17:31:57.135","2011-09-12 17:31:20.035"
00028c572a772140adca524d14dc4526a004939f,7003128,pcmcat138100050040,"power cord","2011-09-12 17:32:53.199","2011-09-12 17:31:20.035"
00028eebf783ce955af7ee2819202484829a9337,2390524,pcmcat209000050008,"Htc flyer","2011-10-09 17:05:07.33","2011-10-09 17:04:55.733"
00029459716e50b4a4b4e622b1756b909b2fda8b,1945531,pcmcat209000050007,iPad,"2011-08-20 16:26:57.274","2011-08-20 16:26:18.839"
0002965b083b6e508f7740c47c8f39e1072b4219,3562379,pcmcat209400050001,"I phone 4","2011-10-27 14:10:31.92","2011-10-27 14:09:33.327"
00029d8c719a8272a5154990cea49e8f09e41ede,9927197,abcat0301014,GPS,"2011-09-22 15:40:52.303","2011-09-22 15:38:33.321"
00029d8c719a8272a5154990cea49e8f09e41ede,2204266,abcat0301014,"n�vi 2460LMT","2011-09-22 22:09:08.922","2011-09-22 22:08:36.794"
0002bb28a9ca07f5515b01996fd5d7ca84742e41,2204211,pcmcat144700050004,"sony headphones","2011-09-01 23:12:10.055","2011-09-01 23:12:01.528"
0002bb28a9ca07f5515b01996fd5d7ca84742e41,1519222,cat02015,"sony headphones","2011-09-01 23:13:39.828","2011-09-01 23:12:01.528"
0002bb28a9ca07f5515b01996fd5d7ca84742e41,9307788,abcat0515043,"surge protector","2011-09-01 23:15:07.008","2011-09-01 23:14:50.995"
0002bb28a9ca07f5515b01996fd5d7ca84742e41,2863614,pcmcat172000050000,"digital photo frames","2011-09-01 23:15:36.176","2011-09-01 23:15:27.749"
0002bb28a9ca07f5515b01996fd5d7ca84742e41,8539272,abcat0307024,receivers,"2011-10-03 16:17:21.818","2011-10-03 16:17:12.808"
0002bb28a9ca07f5515b01996fd5d7ca84742e41,9270594,abcat0515003,cds,"2011-10-03 16:17:42.846","2011-10-03 16:17:33.104"
0002bb28a9ca07f5515b01996fd5d7ca84742e41,1303241,pcmcat208100050009,"wii system","2011-10-19 22:45:46.887","2011-10-19 22:42:25.278"
0002bb28a9ca07f5515b01996fd5d7ca84742e41,7662095,cat09000,"wii system","2011-10-19 22:47:02.367","2011-10-19 22:42:25.278"
0002bb28a9ca07f5515b01996fd5d7ca84742e41,3230638,pcmcat177200050009,"hd antenna","2011-10-20 00:03:49.966","2011-10-20 00:02:01.458"
0002bb28a9ca07f5515b01996fd5d7ca84742e41,8744479,cat02015,nas,"2011-10-25 22:26:44.113","2011-10-25 22:25:57.869"
0002bb28a9ca07f5515b01996fd5d7ca84742e41,8586602,abcat0208005,music,"2011-10-25 23:37:40.7","2011-10-25 23:36:42.363"
0002bb28a9ca07f5515b01996fd5d7ca84742e41,9302097,abcat0107035,music,"2011-10-25 23:39:17.628","2011-10-25 23:36:42.363"
0002bb28a9ca07f5515b01996fd5d7ca84742e41,1222413,pcmcat209400050001,"cell phone","2011-10-25 23:42:59.894","2011-10-25 23:42:53.649"
0002bb28a9ca07f5515b01996fd5d7ca84742e41,2381083,pcmcat189600050009,"norton antivirus","2011-10-26 00:33:49.075","2011-10-26 00:31:50.087"
0002bd9c3d654698bb514194c4f4171ad6992266,9947181,pcmcat253300050012,printer,"2011-10-06 19:51:40.984","2011-10-06 19:47:13.803"
0002c1eda388831edb707a996d2fcba7564b6caa,9944457,pcmcat191100050003,"two way radio","2011-08-12 20:22:11.779","2011-08-12 20:19:04.381"
0002c3dd4fd7e84eb32e45d72c9a732454dcb49c,1535845,pcmcat247400050001,"Apple Laptop","2011-10-22 01:01:13.095","2011-10-22 00:58:08.555"
0002c3dd4fd7e84eb32e45d72c9a732454dcb49c,1535918,pcmcat247400050001,"Apple Laptop","2011-10-22 01:01:57.629","2011-10-22 00:58:08.555"
0002c3dd4fd7e84eb32e45d72c9a732454dcb49c,2658101,pcmcat200200050000,"Apple Desktop","2011-10-22 01:04:39.943","2011-10-22 01:03:25.044"
0002ceca79ce812dbbe8be396898137439eaa3b7,2776251,pcmcat247400050000,sony,"2011-09-16 02:20:04.326","2011-09-16 02:16:20.523"
0002ceca79ce812dbbe8be396898137439eaa3b7,2802456,pcmcat247400050000,vaio,"2011-09-16 02:30:49.855","2011-09-16 02:28:02.625"
0002ceca79ce812dbbe8be396898137439eaa3b7,1805687,pcmcat247400050000,2821782,"2011-09-16 02:32:06.192","2011-09-16 02:31:32.018"
0002ceca79ce812dbbe8be396898137439eaa3b7,2883129,pcmcat247400050000,2821782,"2011-09-16 02:32:44.652","2011-09-16 02:31:32.018"
0002cfbc2a52a28bb10c1a27df986c1cb3429988,9225411,abcat0201011,"ipod touch 4 generation","2011-10-19 19:35:52.844","2011-10-19 19:33:08.684"
0002d17d50d6dd65c7640b1a556bac6985f5c08a,3061302,abcat0703001,LaborDay_HomeAppliances_20110902,"2011-09-03 00:13:08.697","2011-09-03 00:10:44.803"
0002e443a5d42ed1bdc3ba9f5e11ba4fc8df2684,8783925,abcat0106007,"tv stand","2011-08-28 16:44:42.495","2011-08-28 16:42:01.972"
0002e82e25a5af16ee5256fe40750752dfcfbe77,9737114,abcat0504010,"Jump drive","2011-10-20 16:07:30.695","2011-10-20 16:06:44.545"
0002e855e4a81c2f8a3d135c95b3ba3bc7c0c654,2244466,pcmcat206100050021,"3 d glasses","2011-10-19 20:02:21.764","2011-10-19 20:01:37.92"
0002e855e4a81c2f8a3d135c95b3ba3bc7c0c654,9828673,pcmcat206100050021,"3 d glasses","2011-10-19 20:02:51.313","2011-10-19 20:01:37.92"
0002f404884181232464677f7eba17cf73280c6c,3566948,pcmcat209400050001,"iPhone 4s","2011-10-08 18:56:15.418","2011-10-08 18:54:44.484"
0002fee45e1c32eb94e82fc6c15c4db14e796248,3519969,pcmcat247400050000,vaio,"2011-10-19 23:31:51.015","2011-10-19 23:31:12.213"
000307981b3bfc442dff4054c9a630ba2de113fc,2146823,pcmcat182300050008,"gtx 560","2011-10-16 02:26:15.301","2011-10-16 02:22:24.365"
000309fe376f0da0a36508eb9a3f2f6f60a8e49e,1159311,abcat0403004,"Flip hd","2011-10-20 16:29:05.239","2011-10-20 16:28:16.942"
0003117e25bcd585a659615d46f755c8df14946f,2701307,pcmcat171900050029,"Ipad 2 acessories","2011-10-05 20:44:27.429","2011-10-05 20:44:10.809"
00032ba242319efca02d8b5efdb9541d236f270c,2254039,pcmcat214700050000,"Otterbox phone case","2011-10-20 21:32:14.839","2011-10-20 21:30:58.364"
00033086641842088336a970aa9dc7f9c1f82062,1800151,abcat0206001,"hd boomboxes","2011-09-02 12:02:25.267","2011-09-02 12:02:15.389"
00033086641842088336a970aa9dc7f9c1f82062,2562035,pcmcat247400050000,"dell laptops","2011-09-06 18:30:20.025","2011-09-06 18:29:54.761"
0003337a3715015007a816cf0ed437485ee9ce8b,9667549,abcat0809002,chair,"2011-09-15 14:14:35.308","2011-09-15 14:12:12.792"
00033db08a4d2c8e794eb94b9049ac77bebc3992,2634263,pcmcat242000050006,"Htc tablet","2011-10-06 11:06:39.815","2011-10-06 11:06:05.704"
000347cfe53cb35c9813d4d1e8c29f4636c93e76,8791319,pcmcat161100050044,"Airport express","2011-09-17 18:49:59.02","2011-09-17 18:49:34.519"
0003493474b72bdd72d2cf9175dc937065aae0dd,1750068,abcat0303001,"DVD radio","2011-10-17 09:19:42.407","2011-10-17 09:19:35.64"
0003514dc0c09e839ba9335c518f825473c81249,2047429,pcmcat167300050040,"Samsung 6500","2011-09-03 18:04:13.778","2011-09-03 18:03:24.689"
000372b4c0f9659ff10bc71957231ee76db51139,9321307,pcmcat172600050004,"cell phone","2011-10-25 22:23:06.798","2011-10-25 22:22:18.484"
000374502e4de760a4d06611b69af2343d484b48,2138228,abcat0101001,lg,"2011-09-14 10:59:43.953","2011-09-14 10:59:16.537"
00037ae0243bccba219fbe6cfffe488d8a8143a6,3411094,pcmcat247400050000,asus,"2011-10-26 20:41:14.835","2011-10-26 20:38:19.862"
00037be6b0fe1cee7f25e5031705581cde194d14,2738738,pcmcat164200050013,LaborDay_VideoGames_20110902,"2011-09-05 01:29:28.426","2011-09-05 01:28:17.835"
0003832861f9a430291b5afec4e04da5f9027cf5,9319089,cat02595,"Trailer choir","2011-08-13 01:10:48.832","2011-08-13 01:10:21.574"
0003832861f9a430291b5afec4e04da5f9027cf5,9857161,cat02665,"Trailer choir","2011-08-13 01:10:54.974","2011-08-13 01:10:21.574"
00038993f48ba4ab63139209391a9784d4569eb1,2620821,abcat0101001,"lcd tv","2011-10-19 00:09:13.665","2011-10-19 00:09:07.606"
00038daa63b16c77fda6cea44dec91de51669bd2,3209231,cat02015,OnlineMidnightSale_Movies_TV,"2011-09-13 07:20:27.568","2011-09-13 07:17:36.083"
000395d07d4bad3c5a3534e178a31dccadcb7fe6,2954897,pcmcat218000050000,"iPad 2 cases","2011-09-28 08:37:07.041","2011-09-28 08:35:32.256"
000395d07d4bad3c5a3534e178a31dccadcb7fe6,2944053,pcmcat218000050000,"iPad 2 executive cases","2011-09-28 08:42:02.706","2011-09-28 08:40:06.023"
000395d07d4bad3c5a3534e178a31dccadcb7fe6,3216222,pcmcat218000050000,"iPad 2 executive cases","2011-09-28 08:42:24.276","2011-09-28 08:40:06.023"
000395d07d4bad3c5a3534e178a31dccadcb7fe6,2944044,pcmcat218000050000,"iPad 2 executive cases","2011-09-28 08:42:42.828","2011-09-28 08:40:06.023"
0003a0dbe6ea8d4905412f7ac1d6bb5817200481,8054963,pcmcat232900050017,ico,"2011-10-17 12:31:39.042","2011-10-17 12:29:08.582"
0003ab040e9195df8c58f7e9c07b1ddec1be5a07,9755886,cat02015,"Lord of the rings","2011-10-20 13:28:40.291","2011-10-20 13:27:48.953"
0003c403123a1177f3a8a799e865451b5343e5ab,2842056,pcmcat209000050008,"hp tablets","2011-08-15 18:20:03.309","2011-08-15 18:18:45.923"
0003cf4ef308dd9238d00ee7db1b4d48eb9bca22,19025346,cat02015,"How to train your dragon","2011-09-11 20:46:52.501","2011-09-11 20:46:06.32"
0003cf4ef308dd9238d00ee7db1b4d48eb9bca22,3293283,cat02015,"How to train your dragon","2011-09-11 20:47:15.86","2011-09-11 20:46:06.32"
0003f6fb9b2a59799fef17a64aa5e3a0a00c6e2f,3698627,cat02015,"Crazy stupid love","2011-10-26 02:43:53.503","2011-10-26 02:43:27.808"
0003f6fb9b2a59799fef17a64aa5e3a0a00c6e2f,2908353,cat02015,"Gossip girl","2011-10-26 02:45:22.263","2011-10-26 02:45:09.993"
0003f88d2127c52d2deba2507b4c442032d9603d,9637373,pcmcat183800050006,"laptob batteries","2011-10-14 14:39:28.623","2011-10-14 14:39:06.753"
0003f88d2127c52d2deba2507b4c442032d9603d,1260112,pcmcat183800050006,"dell laptob batteries","2011-10-14 14:40:49.189","2011-10-14 14:40:25.549"
000402032255143516f5802097144f7747c6a719,9773712,abcat0410001,"camera bag","2011-10-26 00:37:24.552","2011-10-26 00:36:35.382"
00040d5cfc833d7940207fab0a4c1214a990fa94,2387041,pcmcat209000050008,"Blackberry playbook","2011-09-07 19:51:22.276","2011-09-07 19:51:08.147"
00042033d355973baf9454b021a15c6b5b48f4a3,2677297,pcmcat212600050008,"desk top","2011-08-29 12:03:38.265","2011-08-29 12:03:12.348"
00042776f4aa5d0de9941540c403b2b5ce7785fa,2842056,pcmcat209000050008,"hp touchpad","2011-08-21 19:23:06.952","2011-08-21 19:22:48.631"
0004282f098c19e10736af6785c3055b94428602,2842092,pcmcat209000050008,"Samsung galaxy tab","2011-09-04 10:24:26.537","2011-09-04 10:20:19.262"
000433e0ef411c2cb8ee1727002d6ba15fe9426b,8959317,cat02015,"how i met your mother","2011-09-17 19:44:40.129","2011-09-17 19:43:37.564"
00043a5854b546779f4ab84fcf74400206332a24,2390703,pcmcat144700050004,"Pro beats","2011-09-04 00:23:56.384","2011-09-04 00:22:56.483"
000444fb21f784147e2c6d86cf20fa787d90902d,2971078,pcmcat138500050001,Laptop,"2011-09-06 15:35:15.711","2011-09-06 15:34:38.77"
0004470b5327715939137824354569b7fdd6ecbe,1240002,pcmcat216000050004,"computer case","2011-10-19 22:52:48.048","2011-10-19 22:51:40.224"
00045550fb41307afd2f4bf839e89e96d292a3a3,2475916,pcmcat209000050008,"asus  transformer","2011-09-11 01:54:37.871","2011-09-11 01:54:18.44"
000473734a24b57000511bc675dc57ac5d81154f,3548724,cat02015,"Captain america","2011-10-24 15:22:11.191","2011-10-24 15:19:00.362"
00047673c22f900cf5208dc5822c109956d099a7,6940108,cat02015,"One tree hill","2011-09-10 22:43:49.86","2011-09-10 22:43:11.774"
00047b1a5f838699d51b9a35c863ce033789aa71,7642777,abcat0515004,"dvd cases","2011-10-25 21:31:55.181","2011-10-25 21:31:05.424"
0004899feb5926b4353ea800b9f49ebfcac5081d,2749078,abcat0703002,"Warhammer 40000","2011-09-01 07:52:05.642","2011-09-01 07:50:34.751"
000492fecb6f41d55eff0d8dcbc424305953105d,1149978,abcat0302013,"Car radie Bluetooth","2011-09-11 10:11:09.677","2011-09-11 10:08:00.447"
000492fecb6f41d55eff0d8dcbc424305953105d,3215056,abcat0201009,"Geek  squad","2011-10-24 21:16:22.217","2011-10-24 21:15:02.694"
000492fecb6f41d55eff0d8dcbc424305953105d,1685043,abcat0302013,IPod,"2011-10-24 22:52:16.887","2011-10-24 22:51:42.657"
000496e4d596b8eb059b31901329236efdb82ecb,2817743,pcmcat209000050008,"Galaxy tab","2011-09-09 19:27:22.076","2011-09-09 19:25:53.573"
0004a65577830fea03a821eb062e442b64951442,2842056,pcmcat209000050008,"Hp touch pad","2011-08-22 23:48:32.787","2011-08-22 23:48:10.712"
0004c142b1a73619aa9d99a9c8afc0d022cbff65,2978363,abcat0703002,"NBA 2k 2012 ps3","2011-10-07 12:55:12.793","2011-10-07 12:54:09.101"
0004d180e9e922d9b1d5afba8cbfae804f331ac0,2138264,abcat0705002,psp,"2011-09-01 09:14:55.941","2011-09-01 09:13:31.123"
0004d180e9e922d9b1d5afba8cbfae804f331ac0,9175082,abcat0705001,psp,"2011-09-01 09:16:00.087","2011-09-01 09:13:31.123"
000504e741fef40572d1eb986bbcf1003b3af85c,2356115,pcmcat209400050001,ti,"2011-10-25 22:20:19.493","2011-10-25 22:19:23.32"
000507d8729b6f71eeed184f3517f69d29ea9bac,2945292,abcat0703002,Modern,"2011-09-17 10:55:13.713","2011-09-17 10:53:11.649"
000516f20e957a46be2559d6ffdf2a149f3ed728,8719666,pcmcat174700050005,"Wow linch king","2011-09-09 15:02:29.476","2011-09-09 14:59:53.429"
000516f20e957a46be2559d6ffdf2a149f3ed728,1255535,pcmcat174700050005,Wow,"2011-09-09 15:02:48.555","2011-09-09 15:02:39.655"
00051f5350f4d9f3f4f5ba181b0a66d749b161ee,2930088,pcmcat247400050000,"Gateway laptop","2011-08-30 07:26:37.1","2011-08-30 07:25:19.793"
00052374226e22ed257ed4d493ae5c8a50100bf5,7653826,cat02702,neyo,"2011-10-19 22:59:14.45","2011-10-19 22:58:55.082"
000525993a59598cf66f6c81f874dbd12f7490fd,2538172,pcmcat218000050000,Ipa,"2011-10-16 07:42:45.846","2011-10-16 07:39:18.01"
000525993a59598cf66f6c81f874dbd12f7490fd,1049245,pcmcat209400050001,"iPhone 32g","2011-10-22 10:15:29.357","2011-10-22 10:15:00.754"
000525993a59598cf66f6c81f874dbd12f7490fd,1114133,pcmcat171900050024,iPad,"2011-10-23 13:30:14.415","2011-10-23 13:29:39.499"
000525993a59598cf66f6c81f874dbd12f7490fd,1945531,pcmcat209000050007,iPad,"2011-10-23 13:31:10.043","2011-10-23 13:29:39.499"
00052b81eb0dd490d18540a2fe79021df43e5ab4,9825206,pcmcat230800050019,"wireless speakers","2011-10-19 23:52:40.779","2011-10-19 23:51:41.426"
00053e14abaa33fcb81cc888dbb8b7c00b0990ee,2363655,abcat0101001,"Toshiba- 55 Class / 1080p / 120Hz / LCD HDTV","2011-08-22 10:02:32.234","2011-08-22 10:02:20.454"
00053e14abaa33fcb81cc888dbb8b7c00b0990ee,9609458,abcat0515008,"Thermal compound","2011-10-19 18:15:23.129","2011-10-19 18:15:01.849"
00053f56f202617ffee54c6f77ab0f8f3c09cc5b,9783876,abcat0302013,"Car stereo","2011-08-29 10:29:59.327","2011-08-29 10:28:40.021"
